"ViolationID","BuildingID","RegistrationID","BoroID","Borough","HouseNumber","LowHouseNumber","HighHouseNumber","StreetName","StreetCode","Postcode","Apartment","Story","Block","Lot","Class","InspectionDate","ApprovedDate","OriginalCertifyByDate","OriginalCorrectByDate","NewCertifyByDate","NewCorrectByDate","CertifiedDate","OrderNumber","NOVID","NOVDescription","NOVIssuedDate","CurrentStatusID","CurrentStatus","CurrentStatusDate","NovType","ViolationStatus","RentImpairing","Latitude","Longitude","CommunityBoard","CouncilDistrict","CensusTract","BIN","BBL","NTA"
"10048276","417759","430722","4","QUEENS","14-33","14-31","14-33","31 ROAD","8090","11106","2FL","2","533","11","B","11/26/2013","11/26/2013","01/17/2014","01/03/2014",,,"02/25/2026","702","4732218","§ 27-2045 ADM CODE REPAIR OR REPLACE THE SMOKE DETECTOR MISSING LOCATED AT APT 2FL, 2nd STORY, SECTION ''BUILD14-31''","11/29/2013","4","NOV CERTIFIED LATE","02/25/2026","Original","Open","N","40.767561","-73.932137","1","22","77","4430823","4005330011","Old Astoria-Hallets Point"
"10048279","417759","430722","4","QUEENS","14-33","14-31","14-33","31 ROAD","8090","11106","2FL","2","533","11","B","11/26/2013","11/26/2013","01/17/2014","01/03/2014",,,"02/25/2026","1502","4732218","§ 27-2046.1, 2046.2 HMC: PROVIDE AN APPROVED AND OPERATIONAL CARBON MONOXIDE DETECTING DEVICE, INSTALLED IN ACCORDANCE WITH APPLICABLE LAW AND RULES. LOCATED AT APT 2FL, 2nd STORY, SECTION ''BUILD14-31''","11/29/2013","4","NOV CERTIFIED LATE","02/25/2026","Original","Open","N","40.767561","-73.932137","1","22","77","4430823","4005330011","Old Astoria-Hallets Point"
"10992400","423399","401114","4","QUEENS","34-07","34-01","34-07","36 AVENUE","8690","11106","2B","2","638","1","B","11/05/2015","11/06/2015","12/28/2015","12/14/2015",,,,"506","5302092","§ 27-2005 ADM CODE REPLACE WITH NEW THE MISSING SADDLE AT THE ENTRANCE DOOR IN THE BATHROOM LOCATED AT APT 2B, 2nd STORY, 2nd APARTMENT FROM EAST AT SOUTH","11/09/2015","21","NOT COMPLIED WITH","05/21/2024","Original","Open","N","40.755396","-73.927194","1","26","57","4009575","4006380001","Astoria (Central)"
"11161920","416798","434513","4","QUEENS","32-15","32-13","32-23","30 STREET","7940","11106","B45","4","587","29","C","03/17/2016","03/18/2016","05/28/2023","05/23/2023",,,,"526","8490064","§ 27-2005, 2007 ADM CODE REMOVE THE ILLEGAL FASTENING A KEY OPERATED DOOR KNOB LOCK OBSTRUCTING EGRESS TO THE FIRE ESCAPE IN THE 3rd ROOM FROM NORTH AT WEST LOCATED AT APT B45, 4th STORY, 1st APARTMENT FROM NORTH AT EAST","05/17/2023","2","NOV SENT OUT","05/17/2023","Reissued","Open","Y","40.761980","-73.926472","1","22","59","4007451","4005870029","Astoria (Central)"
"11045857","421895","401204","4","QUEENS","36-63","36-63","36-63","34 STREET","8540","11106","17","4","634","7","B","12/18/2015","12/22/2015","10/21/2020","10/07/2020",,,,"501","6946355","§ 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE WINDOW COUNTER BALANCE IN THE KITCHEN LOCATED AT APT 17, 4th STORY, 2nd APARTMENT FROM SOUTH AT WEST","09/02/2020","22","FIRST NO ACCESS TO RE- INSPECT VIOLATION","09/07/2022","Reissued","Open","N","40.754411","-73.928187","1","26","55","4009479","4006340007","Queensbridge-Ravenswood-Dutch Kills"
"12211317","423399","401114","4","QUEENS","34-07","34-01","34-07","36 AVENUE","8690","11106",,"0","638","1","A","01/25/2018","01/26/2018","05/18/2018","05/04/2018",,,,"500","6001963","§ 26-1103 ADMIN. CODE: POST AND MAINTAIN A PROPER NOTICE ON WALL OF THE ENTRANCE STORY IN ENGLISH AND SPANISH ON THE AVAILABILITY OF THE AGENCYS HOUSING INFORMATION GUIDE. A SAMPLE NOTICE CAN BE FOUND AT WWW.NYC.GOV/HPD.","01/29/2018","21","NOT COMPLIED WITH","05/21/2024","Original","Open","N","40.755396","-73.927194","1","26","57","4009575","4006380001","Astoria (Central)"
"12211318","423399","401114","4","QUEENS","34-07","34-01","34-07","36 AVENUE","8690","11106",,"0","638","1","A","01/25/2018","01/26/2018","05/18/2018","05/04/2018",,,,"1506","6001963","§ 27-2005 HMC: POST, IN A FORM APPROVED BY THE COMMISSIONER, AND MAINTAIN A NOTICE IN A COMMON AREA OF THE BUILDING REGARDING THE PROCEDURES THAT SHOULD BE FOLLOWED WHEN A GAS LEAK IS SUSPECTED","01/29/2018","21","NOT COMPLIED WITH","05/21/2024","Original","Open","N","40.755396","-73.927194","1","26","57","4009575","4006380001","Astoria (Central)"
"13290986","421852","408990","4","QUEENS","35-16","35-16","35-16","34 STREET","8540","11106","1K","1","606","29","B","05/20/2019","09/20/2019","11/08/2019","10/25/2019",,,,"550","6610711","§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT CEILING (4 SQ.FT.) IN THE 3rd ROOM FROM NORTH LOCATED AT APT 1K, 1st STORY, 1st APARTMENT FROM WEST AT NORTH ORIGINAL VIOLATION 13081004 ISSUED 20-MAY-19 HAS BEEN UPGRADED TO CLASS B PER ADMINISTRATIVE CODE §27-2017.3a(3)(a) or (b).","09/20/2019","22","FIRST NO ACCESS TO RE- INSPECT VIOLATION","01/31/2026","Original","Open","N","40.756600","-73.926442","1","26","57","4008101","4006060029","Astoria (Central)"
"16542518","810316","400119","4","QUEENS","35-27","35-27","35-27","28 STREET","76400","11106",,"1","340","13","C","12/24/2023","12/24/2023","01/14/2024","01/09/2024",,,"01/03/2024","530","8862524","§ 27-2005, 27-2007, 27-2041.1 HMC, §238, § 309; § 107 (2) ( C) MDL AND 28 RCNY §25-171: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE HINGES DOOR AT EAST LEADING TO INNER COURT AT PUBLIC HALL, 1st STORY","12/26/2023","21","NOT COMPLIED WITH","01/11/2024","Original","Open","N","40.758733","-73.931309","1","22","53","4430701","4003400013","Astoria (Central)"
"14714269","421852","408990","4","QUEENS","35-16","35-16","35-16","34 STREET","8540","11106","2H","2","606","29","A","12/01/2021","12/01/2021","03/21/2022","03/07/2022",,,,"556","7564541","§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT ALL PEELING PAINT SURFACES IN THE BATHROOM , THE 3rd ROOM FROM NORTH LOCATED AT APT 2H, 2nd STORY, 2nd APARTMENT FROM WEST AT NORTH","12/02/2021","22","FIRST NO ACCESS TO RE- INSPECT VIOLATION","01/31/2026","Original","Open","N","40.756600","-73.926442","1","26","57","4008101","4006060029","Astoria (Central)"
